,key,key_confidence,mode,mode_confidence,number_of_sections,tempo,tempo_confidence,time_signature,time_signature_confidence,track_id
217,9.0,0.546,1.0,0.564,12.0,75.004,0.265,4.0,0.996,6xV0vq00cxZqLSRrZtxn3w
218,11.0,0.522,0.0,0.52,12.0,211.863,0.139,4.0,0.977,6FwRu39rhgBnYzZSXDSmLH
219,6.0,0.535,0.0,0.518,12.0,84.829,0.21,4.0,1.0,3AfPN3ZR0gJ7b9IG1tPyk3
220,10.0,0.142,0.0,0.572,12.0,79.978,0.504,4.0,1.0,0DbmsqP6basyejOSSh6MKP
221,10.0,0.807,0.0,0.588,12.0,79.945,0.729,4.0,0.928,0ojrfPbht7Z7UzQZkf4fAn
222,9.0,0.782,1.0,0.683,12.0,94.012,0.485,4.0,1.0,53SM9DjfRbJURO0vqP9Zwb
223,10.0,0.588,0.0,0.666,12.0,158.0,0.335,4.0,1.0,30St8Llcy8E6AgXMjWdyyJ
224,11.0,0.25,0.0,0.284,12.0,99.913,0.478,4.0,1.0,5xLRfAVRKGMejtz6TXgodL
225,10.0,0.55,0.0,0.589,12.0,91.985,0.156,4.0,0.933,4hboEacHpNTLg2xPmAfjR3
226,3.0,0.279,0.0,0.318,12.0,97.016,0.842,4.0,1.0,4cVAPZiwRsS7lEQIEMEJO2
227,1.0,0.0,0.0,0.283,12.0,89.989,0.507,4.0,1.0,2KY54p2m5C2UN2HxXkfRAU
